City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Aswan,EG,2022-04-20 18:02:49,24.0934,32.907,78.04,14,0,15.43
68,Namibe,AO,2022-04-20 18:02:49,-15.1961,12.1522,75.74,88,96,8.88
69,Gryazovets,RU,2022-04-20 18:02:50,58.88,40.2525,41.4,80,84,8.9
70,Karimganj,IN,2022-04-20 18:02:50,24.8667,92.35,72.7,86,67,2.59
71,Esperance,AU,2022-04-20 18:02:51,-33.8667,121.9,59.67,78,89,8.37
72,Pangnirtung,CA,2022-04-20 18:02:51,66.1451,-65.7125,18.14,71,100,6.78
73,Numan,NG,2022-04-20 18:02:51,9.4667,12.0333,96.33,24,100,4.54
74,Empangeni,ZA,2022-04-20 18:02:52,-28.762,31.8933,61.99,92,39,4.68
75,Iqaluit,CA,2022-04-20 17:58:55,63.7506,-68.5145,17.33,67,100,3.44
76,Cherdyn,RU,2022-04-20 18:02:52,60.403,56.4787,29.68,89,97,7.7
77,Cidreira,BR,2022-04-20 18:02:53,-30.1811,-50.2056,71.56,65,0,7.52
78,New Norfolk,AU,2022-04-20 18:02:53,-42.7826,147.0587,49.5,65,24,3.0
79,La Palma,US,2022-04-20 18:02:53,33.8464,-118.0467,69.91,68,75,9.22
80,Oussouye,SN,2022-04-20 18:02:54,12.485,-16.5469,83.7,41,52,13.04
81,Nybro,SE,2022-04-20 18:02:54,56.7446,15.9071,45.41,76,49,10.16
82,Belozerskoye,RU,2022-04-20 18:02:55,55.8214,65.5842,37.8,89,94,5.61
83,Hilo,US,2022-04-20 18:00:39,19.7297,-155.09,75.27,83,95,1.01
84,Lavrentiya,RU,2022-04-20 18:02:55,65.5833,-171.0,12.81,84,3,4.27
85,Ribeira Grande,PT,2022-04-20 18:02:55,38.5167,-28.7,63.0,63,75,5.75
86,Birnin Kebbi,NG,2022-04-20 18:02:56,12.4539,4.1975,99.21,20,48,3.91
87,Airai,TL,2022-04-20 18:02:56,-8.9266,125.4092,58.84,86,94,2.01
88,Hithadhoo,MV,2022-04-20 18:02:57,-0.6,73.0833,83.37,68,95,3.02
89,Anadyr,RU,2022-04-20 18:02:57,64.75,177.4833,30.0,86,100,4.0
90,Saint-Joseph,RE,2022-04-20 18:02:57,-21.3667,55.6167,77.38,85,51,3.29
91,Fairbanks,US,2022-04-20 18:02:58,64.8378,-147.7164,37.92,44,20,2.01
92,Lao Cai,VN,2022-04-20 18:02:58,22.4833,103.95,67.87,91,59,0.76
93,Kenai,US,2022-04-20 18:03:12,60.5544,-151.2583,39.09,53,0,8.05
94,Sechura,PE,2022-04-20 18:03:59,-5.5569,-80.8222,73.26,71,96,0.4
95,Puri,IN,2022-04-20 18:03:59,19.8,85.85,82.92,89,31,21.21
96,Ushuaia,AR,2022-04-20 17:59:44,-54.8,-68.3,47.86,61,75,16.11
97,Rosarito,MX,2022-04-20 18:04:00,32.3333,-117.0333,70.63,62,13,10.69
98,Peleduy,RU,2022-04-20 18:04:00,59.6289,112.7406,9.16,100,89,1.88
99,Kapaa,US,2022-04-20 18:04:01,22.0752,-159.319,73.72,81,75,17.27
100,Grindavik,IS,2022-04-20 18:04:01,63.8424,-22.4338,46.87,93,100,4.61
101,Kodiak,US,2022-04-20 18:04:01,57.79,-152.4072,40.51,75,0,4.61
102,Broome,US,2022-04-20 18:04:02,42.2506,-75.833,50.02,50,0,5.99
103,Mount Isa,AU,2022-04-20 18:04:02,-20.7333,139.5,71.37,23,0,13.8
104,Dubti,ET,2022-04-20 18:04:03,11.7361,41.0853,92.86,27,9,11.72
105,Tanabe,JP,2022-04-20 18:04:03,33.7333,135.3667,58.35,70,99,5.77
106,Padron,ES,2022-04-20 18:04:04,42.7388,-8.6606,59.72,44,9,5.82
107,Provideniya,RU,2022-04-20 18:04:04,64.3833,-173.3,21.88,86,38,5.91
108,Nicoya,CR,2022-04-20 18:01:15,10.1483,-85.452,94.53,35,87,6.87
109,Atambua,ID,2022-04-20 18:04:05,-9.1061,124.8925,72.36,86,100,3.91
110,Sao Filipe,CV,2022-04-20 18:04:05,14.8961,-24.4956,74.34,75,74,8.95
111,Sangar,RU,2022-04-20 18:04:06,63.9242,127.4739,14.83,98,100,1.07
112,Jaru,BR,2022-04-20 18:04:06,-10.4389,-62.4664,83.98,75,99,2.19
113,Te Anau,NZ,2022-04-20 18:04:07,-45.4167,167.7167,59.07,96,99,2.13
114,Gorontalo,ID,2022-04-20 18:04:08,0.5412,123.0595,74.98,94,90,2.64
115,Kuito,AO,2022-04-20 18:04:08,-12.3833,16.9333,61.48,84,99,2.26
116,Ahipara,NZ,2022-04-20 18:04:08,-35.1667,173.1667,66.81,90,85,8.19
117,Cootamundra,AU,2022-04-20 18:04:09,-34.65,148.0333,52.95,90,86,3.06
118,Saint-Georges,GD,2022-04-20 18:04:09,12.0564,-61.7485,81.05,69,82,16.84
119,Chino Valley,US,2022-04-20 18:04:10,34.7575,-112.4538,74.1,19,0,8.05
120,Mutsu,JP,2022-04-20 18:04:10,41.2894,141.2169,46.9,62,2,4.59
121,Lebu,CL,2022-04-20 18:04:11,-37.6167,-73.65,56.43,62,7,8.75
122,Virginia Beach,US,2022-04-20 18:03:53,36.8529,-75.978,61.05,40,5,4.0
123,Carballo,ES,2022-04-20 18:04:11,43.213,-8.691,56.75,71,8,6.04
124,Maun,BW,2022-04-20 18:04:12,-19.9833,23.4167,70.75,37,44,9.62
125,Marzuq,YE,2022-04-20 18:04:13,14.4,46.4667,71.53,51,4,7.49
126,Gangtok,IN,2022-04-20 18:04:13,27.3333,88.6167,57.94,83,94,1.34
127,Altay,CN,2022-04-20 18:04:14,47.8667,88.1167,40.98,54,51,4.5
128,Magalia,US,2022-04-20 18:04:14,39.8121,-121.5783,55.15,72,25,4.0
129,Chokurdakh,RU,2022-04-20 18:04:15,70.6333,147.9167,2.23,99,97,4.47
130,Beringovskiy,RU,2022-04-20 18:04:16,63.05,179.3167,18.12,100,86,3.6
131,Port Elizabeth,ZA,2022-04-20 18:03:19,-33.918,25.5701,72.1,77,59,3.0
132,Saskylakh,RU,2022-04-20 18:04:17,71.9167,114.0833,-2.16,100,99,4.59
133,Torbay,CA,2022-04-20 18:04:17,47.6666,-52.7314,47.28,86,98,5.01
134,Ewa Beach,US,2022-04-20 18:04:18,21.3156,-158.0072,76.08,70,40,11.5
135,Batemans Bay,AU,2022-04-20 18:00:14,-35.7167,150.1833,56.1,77,91,4.07
136,Arraial Do Cabo,BR,2022-04-20 18:00:31,-22.9661,-42.0278,74.84,76,0,11.7
137,Komsomolskiy,UZ,2022-04-20 18:00:40,40.4272,71.7189,63.32,67,100,4.61
138,Mbeya,TZ,2022-04-20 18:04:18,-8.9,33.45,59.47,93,65,4.88
139,Galesong,ID,2022-04-20 18:04:19,-5.3166,119.3661,73.42,83,88,5.7
140,Torbat-E Jam,IR,2022-04-20 18:04:20,35.244,60.6225,66.33,41,4,1.92
141,Avarua,CK,2022-04-20 18:01:17,-21.2078,-159.775,77.05,65,75,29.62
142,Georgetown,MY,2022-04-20 18:05:20,5.4112,100.3354,80.53,89,20,2.3
143,Tateyama,JP,2022-04-20 18:05:20,34.9833,139.8667,57.13,82,40,6.91
144,Muravlenko,RU,2022-04-20 18:05:21,63.7898,74.523,8.47,93,68,15.59
145,Xinzhou,CN,2022-04-20 18:05:22,38.4092,112.7333,61.74,31,50,11.9
146,Zhanaozen,KZ,2022-04-20 18:05:22,43.3,52.8,70.86,26,13,11.18
147,Kidal,ML,2022-04-20 18:05:23,18.4411,1.4078,94.82,7,6,10.13
148,Mahibadhoo,MV,2022-04-20 18:05:23,3.7833,72.9667,84.02,72,59,4.94
149,Bethel,US,2022-04-20 18:05:24,41.3712,-73.414,56.62,41,0,12.66
150,Brae,GB,2022-04-20 18:01:49,60.3964,-1.353,47.89,75,53,10.94
151,Talnakh,RU,2022-04-20 18:05:24,69.4865,88.3972,-2.29,91,32,4.14
152,Kamina,CD,2022-04-20 18:05:25,-8.7386,24.9906,67.15,91,100,2.57
153,Kirakira,SB,2022-04-20 18:01:52,-10.4544,161.9205,78.87,86,97,5.99
154,Yellowknife,CA,2022-04-20 18:01:27,62.456,-114.3525,28.56,30,30,4.0
155,Caxito,AO,2022-04-20 18:05:26,-8.5785,13.6643,74.66,95,100,2.62
156,Malakal,SS,2022-04-20 18:05:27,9.5334,31.6605,91.33,37,99,3.04
157,Hongjiang,CN,2022-04-20 18:05:27,27.11,109.9956,59.02,91,0,4.0
158,Kavaratti,IN,2022-04-20 18:04:13,10.5669,72.642,84.65,70,8,12.1
159,Fuyu,CN,2022-04-20 18:05:28,45.1833,124.8167,62.56,34,100,20.92
160,Fortuna,US,2022-04-20 18:05:28,40.5982,-124.1573,53.94,92,75,24.16
