,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lasa,IT,46.6166,10.7002,49.08,96,100,3.27,overcast clouds
80,Gornopravdinsk,RU,60.05,69.9,39.38,44,33,6.51,scattered clouds
81,Ajmer,IN,26.45,74.6333,98.89,19,0,6.29,clear sky
82,Avarua,CK,-21.2078,-159.775,78.85,89,20,6.91,few clouds
83,Bastrop,US,32.7562,-91.8724,67.71,76,0,3.0,clear sky
84,Saint George,US,37.1041,-113.5841,66.79,21,0,11.5,clear sky
85,Coihaique,CL,-45.5752,-72.0662,37.35,100,20,1.14,light rain
86,Nikolskoye,RU,59.7035,30.7861,38.88,50,13,6.78,few clouds
87,Ahipara,NZ,-35.1667,173.1667,62.49,78,37,9.33,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,20,4.61,few clouds
89,Yumen,CN,40.2833,97.2,56.7,18,65,5.93,broken clouds
90,Luderitz,NA,-26.6481,15.1594,56.48,63,0,12.39,clear sky
91,Brazzaville,CG,-4.2658,15.2832,73.76,94,20,4.61,few clouds
92,Antalaha,MG,-14.9003,50.2788,80.89,64,57,7.18,broken clouds
93,Cortez,US,37.3489,-108.5859,45.03,34,1,6.93,clear sky
94,Houma,US,29.5958,-90.7195,66.99,89,0,4.61,clear sky
95,Airai,TL,-8.9266,125.4092,76.1,49,81,3.33,broken clouds
96,Grand-Bourg,GP,15.8835,-61.3148,75.15,79,87,14.38,overcast clouds
97,Faanui,PF,-16.4833,-151.75,81.54,72,10,17.36,clear sky
98,Husavik,IS,66.0449,-17.3389,41.63,84,39,8.08,scattered clouds
99,Russell,US,32.3502,-85.1999,70.88,88,75,0.0,broken clouds
100,Kenai,US,60.5544,-151.2583,44.69,56,0,6.91,clear sky
101,Cape Town,ZA,-33.9258,18.4232,56.12,93,10,6.91,fog
102,Mataura,NZ,-46.1927,168.8643,52.32,86,89,3.04,overcast clouds
103,Sorong,ID,-0.8833,131.25,84.2,74,91,8.93,overcast clouds
104,Lebu,CL,-37.6167,-73.65,48.02,82,0,14.03,clear sky
105,Zhezkazgan,KZ,47.8043,67.7144,71.58,28,0,8.95,clear sky
106,Victoria,HK,22.2855,114.1577,83.97,83,100,18.01,overcast clouds
107,Esperance,AU,-33.8667,121.9,69.64,58,20,6.51,few clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,74.61,60,15,13.47,few clouds
109,Yellowknife,CA,62.456,-114.3525,27.12,63,20,10.36,few clouds
110,Georgetown,MY,5.4112,100.3354,88.95,70,40,11.99,scattered clouds
111,Jamestown,US,42.097,-79.2353,44.24,55,0,4.61,clear sky
112,Turukhansk,RU,65.8167,87.9833,26.83,73,19,9.66,few clouds
113,Ndjole,GA,-0.1783,10.7649,73.35,91,100,1.36,overcast clouds
114,East London,ZA,-33.0153,27.9116,61.74,63,0,13.8,clear sky
115,Nanortalik,GL,60.1432,-45.2371,36.68,88,61,5.37,broken clouds
116,Mahebourg,MU,-20.4081,57.7,80.89,65,20,11.5,few clouds
117,Zhangye,CN,38.9342,100.4517,53.64,34,100,8.37,overcast clouds
118,Hobart,AU,-42.8794,147.3294,59.25,56,40,21.85,scattered clouds
119,Seminole,US,28.7086,-81.2081,71.98,87,96,7.07,overcast clouds
120,Enid,US,36.3956,-97.8784,64.56,58,0,20.71,clear sky
121,Kulhudhuffushi,MV,6.6221,73.07,85.96,71,54,10.29,broken clouds
122,Chokurdakh,RU,70.6333,147.9167,23.05,89,17,9.64,few clouds
123,Longyearbyen,SJ,78.2186,15.6401,10.24,67,20,9.22,few clouds
124,Saldanha,ZA,-33.0117,17.9442,48.25,83,49,4.74,scattered clouds
125,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,88,0,12.66,clear sky
126,Ayan,RU,56.45,138.1667,32.65,96,100,4.79,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,63.72,49,20,2.8,few clouds
128,Buala,SB,-8.145,159.5921,82.29,77,100,2.13,light rain
129,Sitka,US,57.0531,-135.33,43.16,81,67,1.74,broken clouds
130,Rocha,UY,-34.4833,-54.3333,43.9,84,1,2.91,clear sky
131,Kodiak,US,57.79,-152.4072,42.31,87,100,28.77,mist
132,Mana,GF,5.6592,-53.7767,77.88,83,50,11.39,scattered clouds
133,Evanston,US,42.0411,-87.6901,57.36,68,100,7.0,overcast clouds
134,Port Alfred,ZA,-33.5906,26.891,60.19,74,40,5.01,scattered clouds
135,Klaksvik,FO,62.2266,-6.589,45.52,81,100,9.31,overcast clouds
