City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Macapa,BR,76.98,clear sky,0.0389,-51.0664,Atalanta Hotel
432,Buritis,BR,64.44,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
437,Khonsa,IN,74.64,overcast clouds,27.0167,95.5667,
440,Dogondoutchi,NE,85.66,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
443,Le Port,RE,82.62,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
446,Garissa,KE,82.99,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
448,Jieshi,CN,82.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
451,Ligayan,PH,83.97,overcast clouds,4.6533,119.4706,
452,Cape Canaveral,US,75.02,broken clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
453,Davila,PH,89.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
454,Bahia Honda,CU,71.85,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
455,Jiaocheng,CN,70.92,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
457,Champerico,GT,81.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
458,Ano Mera,GR,63.66,broken clouds,37.45,25.4,Hotel La Résidence Mykonos
460,Sokone,SN,70.02,scattered clouds,13.8833,-16.3667,Hôtel le Caïman
464,La Asuncion,VE,78.87,broken clouds,11.0333,-63.8628,Colinas de Matasiete
465,Arlit,NE,84.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
466,Kabalo,CD,71.64,overcast clouds,-6.05,26.9167,
467,Tabou,CI,78.98,light rain,4.423,-7.3528,hotêl doufoulougou
468,Sabha,LY,73.9,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
471,Ulladulla,AU,70.7,broken clouds,-35.35,150.4667,Sandpiper Motel
473,Jambi,ID,87.93,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
474,Baoro,CF,68.99,broken clouds,5.6667,15.9667,
478,Malanville,BJ,84.81,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
480,Ridgecrest,US,69.66,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
481,Kaeo,NZ,61.32,scattered clouds,-35.1,173.7833,Bushido Lodge
482,Vieques,PR,78.12,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
483,Muisne,EC,76.91,light rain,0.6,-80.0333,Quinta Samay
484,Ca Mau,VN,89.82,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
485,Jeremoabo,BR,66.67,broken clouds,-10.075,-38.4808,
487,Umm Lajj,SA,89.96,clear sky,25.0213,37.2685,Moon light Furnished Units
488,Meulaboh,ID,86.23,overcast clouds,4.1363,96.1285,Kost Pria
491,Mindelo,CV,67.55,few clouds,16.8901,-24.9804,Hotel Gaudi
492,Ambulu,ID,85.24,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
495,Bonito,BR,71.94,broken clouds,-21.1211,-56.4819,Marruá Hotel
496,Awbari,LY,75.52,clear sky,26.5921,12.7805,فندق أوباري
498,Maumere,ID,86.11,overcast clouds,-8.6199,122.2111,Sylvia Hotel
501,Rosarito,MX,60.4,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
503,Jaicos,BR,69.69,broken clouds,-7.3592,-41.1378,Hotel Jaicós
504,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
505,Uitenhage,ZA,61.63,few clouds,-33.7576,25.3971,Mi Casa Guest House
506,Araripe,BR,66.9,light rain,-7.2125,-40.0461,
511,Torbat-E Jam,IR,82.83,scattered clouds,35.244,60.6225,White building
513,Shakawe,BW,63.23,clear sky,-18.3667,21.85,Ditlhapi Guest House
514,Inhambane,MZ,71.8,clear sky,-23.865,35.3833,Oceano
515,Saint-Leu,RE,81.68,clear sky,-21.15,55.2833,La Caz Oceane
516,Makakilo City,US,73.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
517,Uruana,BR,64.6,clear sky,-15.4981,-49.6875,Hotel E Restaurante Bom Jesus
518,Pasighat,IN,81.34,light rain,28.0667,95.3333,Siang Guest House
519,Madang,PG,83.53,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
521,Puri,IN,93.72,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
525,Havelock,US,63.93,broken clouds,34.8791,-76.9013,Sherwood Motel
527,Marzuq,YE,81.16,clear sky,14.4,46.4667,
528,Nizwa,OM,94.57,clear sky,22.9333,57.5333,Orient Apartments
529,Honiara,SB,82.11,overcast clouds,-9.4333,159.95,Heritage Park Hotel
530,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
532,Pisco,PE,66.25,mist,-13.7,-76.2167,Hotel San Isidro Oficial
533,Sola,VU,82.17,overcast clouds,-13.8833,167.55,Leumerus Bungalows
537,Point Fortin,TT,78.85,broken clouds,10.1833,-61.6833,Jus Les' Suites
538,Jasper,US,73.11,few clouds,37.2001,-94.3502,Guest House Motel
540,Manokwari,ID,79.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
541,Panchgani,IN,90.03,clear sky,17.9167,73.8167,Girija Resort
542,Adrar,MR,68.94,few clouds,20.5022,-10.0711,
545,Palembang,ID,89.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
549,Ixtapa,MX,73.22,clear sky,20.7,-105.2,hotel la terminal
557,Taoudenni,ML,72.43,scattered clouds,22.6783,-3.9836,
558,Kodinar,IN,93.07,clear sky,20.7903,70.7031,residency of N.B vadhel
560,Bekwai,GH,72.45,broken clouds,6.4534,-1.5774,Annex Plaza Hotel
562,Likasi,CD,64.72,overcast clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
563,Martapura,ID,91.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
565,Fukue,JP,61.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
566,Palimbang,PH,83.12,overcast clouds,6.2106,124.1894,Felmar Beach resort
567,Palmas Bellas,PA,78.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
568,Minab,IR,91.47,scattered clouds,27.1467,57.0801,Bam campground
569,Rosetta,EG,67.93,few clouds,31.4044,30.4164,Green Valley
570,Umm Kaddadah,SD,88.12,broken clouds,13.6017,26.6876,
571,Abdanan,IR,69.22,scattered clouds,32.9926,47.4198,خدمات موبایل میرزایی
572,Banepa,NP,83.89,few clouds,27.6298,85.5214,Dhulikhel Lodge Resort
574,Dutlwe,BW,64.56,scattered clouds,-23.9833,23.9,
576,Tual,ID,84.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
578,Marsh Harbour,BS,73.0,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
579,Nouakchott,MR,69.73,clear sky,18.0858,-15.9785,HOTEL IMAN
581,Murray Bridge,AU,64.13,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
586,Trinidad,BO,68.4,scattered clouds,-14.8333,-64.9,Hotel Piesta
594,Barcelona,ES,64.33,clear sky,41.3888,2.159,Axel Hotel Barcelona
595,Ambovombe,MG,72.25,clear sky,-25.1667,46.0833,RELAHARA
596,Abu Samrah,SY,81.64,scattered clouds,35.3029,37.1841,
599,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
600,Tarakan,ID,83.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
601,Kabanjahe,ID,74.7,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
602,Karimganj,IN,94.48,scattered clouds,24.8667,92.35,Ahar Hotel And Aheli Restaurant
605,Yeniseysk,RU,61.77,overcast clouds,58.4497,92.1703,"""Domino"""
608,Paramonga,PE,66.45,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
610,Lucea,JM,76.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
612,Tonota,BW,65.62,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
613,Trairi,BR,76.05,overcast clouds,-3.2778,-39.2689,janelas do mar
614,Abu Kamal,SY,84.07,scattered clouds,34.4506,40.9171,محطة التلفاز
616,Camana,PE,65.5,overcast clouds,-16.6228,-72.7111,Hostal Morales
618,Beloha,MG,73.36,clear sky,-25.1667,45.05,
619,Codrington,AU,61.23,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
621,Talara,PE,69.62,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
